epoch, wall, LR,training_loss_e,training_loss,training_e/N_mae,validation_loss_e,validation_loss,validation_e/N_mae
       145, 7641.530,    0.005,       1.3899e-05,       1.3899e-05,     4.85e-05,         1.22e-06,         1.22e-06,     1.43e-05
       146, 7698.407,    0.005,       4.8773e-06,       4.8773e-06,     2.83e-05,       1.1853e-06,       1.1853e-06,      1.4e-05
       147, 7754.269,    0.005,       2.6757e-06,       2.6757e-06,     2.11e-05,       1.0554e-06,       1.0554e-06,     1.33e-05
       148, 7810.102,    0.005,       2.6182e-06,       2.6182e-06,     2.07e-05,       1.0179e-06,       1.0179e-06,     1.31e-05
       149, 7866.024,    0.005,       3.0479e-06,       3.0479e-06,      2.3e-05,       9.3787e-07,       9.3787e-07,     1.27e-05
       150, 7922.065,    0.005,        3.498e-06,        3.498e-06,     2.43e-05,       9.4817e-07,       9.4817e-07,     1.28e-05
       151, 7977.962,    0.005,       5.4835e-06,       5.4835e-06,     3.14e-05,       9.3503e-07,       9.3503e-07,     1.28e-05
       152, 8033.693,    0.005,       5.2455e-06,       5.2455e-06,     3.04e-05,       9.4256e-07,       9.4256e-07,     1.27e-05
       153, 8089.627,    0.005,       7.5053e-06,       7.5053e-06,     3.66e-05,       1.0228e-06,       1.0228e-06,     1.36e-05
       154, 8145.543,    0.005,       4.7443e-06,       4.7443e-06,     2.82e-05,       9.6764e-07,       9.6764e-07,      1.3e-05
       155, 8201.374,    0.005,       2.7259e-06,       2.7259e-06,     2.09e-05,       9.1188e-07,       9.1188e-07,     1.26e-05
       156, 8257.086,    0.005,       1.8999e-06,       1.8999e-06,     1.78e-05,       8.8432e-07,       8.8432e-07,     1.25e-05
       157, 8312.695,    0.005,       2.4428e-06,       2.4428e-06,     2.06e-05,        8.579e-07,        8.579e-07,     1.24e-05
       158, 8368.011,    0.005,       2.3831e-06,       2.3831e-06,     1.98e-05,       8.5644e-07,       8.5644e-07,     1.23e-05
       159, 8423.119,    0.005,       4.7252e-06,       4.7252e-06,     2.83e-05,       8.4625e-07,       8.4625e-07,      1.2e-05
       160, 8478.248,    0.005,       3.5077e-06,       3.5077e-06,     2.47e-05,        8.645e-07,        8.645e-07,     1.21e-05
       161, 8533.271,    0.005,       2.7174e-06,       2.7174e-06,     2.19e-05,       8.5188e-07,       8.5188e-07,     1.21e-05
       162, 8588.267,    0.005,       4.7522e-06,       4.7522e-06,     2.86e-05,       8.3729e-07,       8.3729e-07,     1.21e-05
       163, 8643.180,    0.005,       3.6606e-06,       3.6606e-06,      2.4e-05,       8.2345e-07,       8.2345e-07,     1.19e-05
       164, 8698.239,    0.005,       1.3762e-05,       1.3762e-05,     4.72e-05,       9.0077e-07,       9.0077e-07,     1.26e-05
       165, 8753.481,    0.005,       2.9595e-05,       2.9595e-05,     7.05e-05,       1.5108e-06,       1.5108e-06,     1.59e-05
       166, 8808.537,    0.005,       1.0729e-05,       1.0729e-05,     4.21e-05,       1.3705e-06,       1.3705e-06,     1.51e-05
       167, 8863.663,    0.005,        3.337e-06,        3.337e-06,     2.33e-05,       1.1795e-06,       1.1795e-06,     1.38e-05
       168, 8918.593,    0.005,       5.1425e-06,       5.1425e-06,     2.94e-05,        1.081e-06,        1.081e-06,     1.32e-05
       169, 8973.677,    0.005,       3.1273e-06,       3.1273e-06,     2.33e-05,       1.0407e-06,       1.0407e-06,     1.31e-05
       170, 9028.834,    0.005,       2.7193e-06,       2.7193e-06,     2.19e-05,       9.7329e-07,       9.7329e-07,     1.27e-05
       171, 9083.898,    0.005,       2.9293e-06,       2.9293e-06,     2.26e-05,       9.3685e-07,       9.3685e-07,     1.25e-05
       172, 9139.111,    0.005,       2.6011e-06,       2.6011e-06,     2.03e-05,       8.2782e-07,       8.2782e-07,     1.18e-05
       173, 9194.143,    0.005,       2.3826e-06,       2.3826e-06,     2.01e-05,       8.2993e-07,       8.2993e-07,     1.19e-05
       174, 9249.391,    0.005,       2.1094e-06,       2.1094e-06,     1.82e-05,        7.766e-07,        7.766e-07,     1.15e-05
       175, 9304.529,    0.005,       2.7149e-06,       2.7149e-06,     2.18e-05,       7.4064e-07,       7.4064e-07,     1.13e-05
