epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_H_f_mae,training_B_f_mae,training_C_f_mae,training_psavg_f_mae,training_H_f_rmse,training_B_f_rmse,training_C_f_rmse,training_psavg_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_H_f_mae,validation_B_f_mae,validation_C_f_mae,validation_psavg_f_mae,validation_H_f_rmse,validation_B_f_rmse,validation_C_f_rmse,validation_psavg_f_rmse,validation_e_mae,validation_e/N_mae
        46, 7704.804,    0.005,         0.003283,       1.6681e-05,        0.0032997,      0.00148,      0.00214,      0.00115,            0,      0.00178,     0.000975,      0.00179,            0,      0.00242,       0.0014,      0.00444,     0.000117,        0.0015564,       4.2781e-07,        0.0015568,     0.000926,      0.00147,     0.000807,            0,      0.00103,     0.000614,      0.00138,            0,      0.00156,     0.000978,     0.000779,     2.05e-05
        47, 7871.217,    0.005,        0.0027229,        8.214e-06,        0.0027311,       0.0013,      0.00195,      0.00103,            0,      0.00154,     0.000858,      0.00169,            0,      0.00216,      0.00128,      0.00318,     8.38e-05,          0.00151,       4.2112e-07,        0.0015104,     0.000906,      0.00145,     0.000788,            0,      0.00101,       0.0006,      0.00136,            0,      0.00153,     0.000964,      0.00078,     2.05e-05
        48, 8038.833,    0.005,        0.0028672,       1.4988e-05,        0.0028822,      0.00135,        0.002,      0.00102,            0,      0.00165,      0.00089,      0.00166,            0,      0.00227,      0.00131,      0.00411,     0.000108,        0.0014862,       3.8456e-07,        0.0014865,     0.000895,      0.00144,     0.000776,            0,        0.001,     0.000593,      0.00135,            0,      0.00152,     0.000956,     0.000745,     1.96e-05
        49, 8205.414,    0.005,        0.0029494,       1.0767e-05,        0.0029601,      0.00139,      0.00203,      0.00105,            0,      0.00171,     0.000918,      0.00167,            0,      0.00231,      0.00133,      0.00386,     0.000102,        0.0014579,       3.6848e-07,        0.0014583,     0.000884,      0.00143,     0.000769,            0,     0.000987,     0.000585,      0.00134,            0,       0.0015,     0.000947,     0.000722,      1.9e-05
        50, 8371.503,    0.005,        0.0027502,       6.8624e-06,        0.0027571,      0.00134,      0.00196,      0.00105,            0,      0.00161,     0.000886,      0.00164,            0,      0.00221,      0.00128,      0.00288,     7.58e-05,        0.0014306,       3.6428e-07,         0.001431,     0.000873,      0.00141,     0.000759,            0,     0.000976,     0.000578,      0.00133,            0,      0.00149,     0.000938,     0.000728,     1.92e-05
        51, 8538.811,    0.005,        0.0025939,       9.2027e-06,        0.0026031,      0.00128,       0.0019,      0.00104,            0,      0.00149,     0.000844,      0.00168,            0,      0.00208,      0.00126,      0.00321,     8.44e-05,        0.0014022,        3.201e-07,        0.0014025,     0.000856,       0.0014,     0.000744,            0,     0.000958,     0.000567,      0.00132,            0,      0.00147,     0.000929,     0.000672,     1.77e-05
        52, 8706.309,    0.005,        0.0028106,       1.3842e-05,        0.0028244,      0.00135,      0.00198,      0.00104,            0,      0.00162,     0.000887,      0.00166,            0,      0.00223,       0.0013,      0.00433,     0.000114,        0.0013833,       3.0229e-07,        0.0013836,      0.00085,      0.00139,     0.000735,            0,     0.000952,     0.000563,      0.00131,            0,      0.00146,     0.000923,      0.00066,     1.74e-05
        53, 8874.305,    0.005,        0.0028764,       7.7017e-06,        0.0028841,      0.00135,      0.00201,      0.00103,            0,      0.00164,      0.00089,      0.00165,            0,      0.00228,      0.00131,      0.00315,     8.28e-05,        0.0013743,       3.0307e-07,        0.0013746,     0.000844,      0.00139,     0.000727,            0,     0.000949,     0.000559,       0.0013,            0,      0.00146,      0.00092,     0.000666,     1.75e-05
        54, 9041.093,    0.005,        0.0027038,       1.5757e-05,        0.0027196,      0.00133,      0.00194,      0.00106,            0,      0.00157,     0.000876,      0.00169,            0,      0.00215,      0.00128,      0.00444,     0.000117,         0.001352,       2.8146e-07,        0.0013523,     0.000834,      0.00137,     0.000723,            0,     0.000934,     0.000552,       0.0013,            0,      0.00144,     0.000913,      0.00064,     1.68e-05
        55, 9208.495,    0.005,        0.0025136,        1.527e-05,        0.0025289,      0.00127,      0.00188,      0.00102,            0,       0.0015,     0.000841,      0.00163,            0,      0.00207,      0.00123,      0.00395,     0.000104,        0.0013242,       2.7308e-07,        0.0013245,     0.000819,      0.00136,     0.000712,            0,     0.000915,     0.000542,      0.00129,            0,      0.00142,     0.000904,     0.000631,     1.66e-05
        56, 9374.153,    0.005,        0.0024554,       9.6913e-06,        0.0024651,      0.00125,      0.00185,      0.00103,            0,      0.00145,     0.000824,      0.00165,            0,      0.00202,      0.00122,       0.0035,      9.2e-05,        0.0013012,       2.7524e-07,        0.0013015,     0.000808,      0.00135,     0.000704,            0,     0.000901,     0.000535,      0.00128,            0,      0.00141,     0.000896,     0.000633,     1.67e-05
        57, 9540.664,    0.005,        0.0035938,       1.2018e-05,        0.0036058,      0.00147,      0.00224,      0.00111,            0,      0.00179,     0.000967,      0.00184,            0,      0.00255,      0.00146,      0.00367,     9.65e-05,         0.001317,       2.2622e-07,        0.0013172,     0.000817,      0.00136,     0.000706,            0,     0.000917,     0.000541,      0.00128,            0,      0.00142,     0.000901,     0.000571,      1.5e-05
        58, 9708.957,    0.005,        0.0025475,       1.6093e-05,        0.0025636,      0.00124,      0.00189,     0.000997,            0,      0.00145,     0.000816,      0.00165,            0,      0.00208,      0.00124,       0.0041,     0.000108,        0.0012939,       2.4907e-07,        0.0012941,     0.000806,      0.00134,     0.000699,            0,     0.000902,     0.000534,      0.00127,            0,      0.00141,     0.000893,     0.000612,     1.61e-05
        59, 9876.233,    0.005,        0.0026467,       6.4626e-06,        0.0026532,       0.0013,      0.00192,     0.000993,            0,      0.00157,     0.000854,      0.00161,            0,      0.00217,      0.00126,      0.00297,     7.81e-05,        0.0012667,       2.2556e-07,        0.0012669,     0.000793,      0.00133,     0.000692,            0,     0.000883,     0.000525,      0.00127,            0,      0.00139,     0.000884,     0.000577,     1.52e-05
        60, 10043.166,    0.005,        0.0022861,        4.916e-06,        0.0022911,      0.00119,      0.00179,     0.000959,            0,      0.00139,     0.000784,      0.00158,            0,      0.00195,      0.00118,      0.00249,     6.56e-05,        0.0012426,       2.3605e-07,        0.0012428,     0.000783,      0.00132,     0.000683,            0,     0.000873,     0.000519,      0.00126,            0,      0.00137,     0.000876,      0.00059,     1.55e-05
        61, 10209.706,    0.005,        0.0025831,       1.1511e-05,        0.0025947,      0.00125,       0.0019,      0.00099,            0,      0.00148,     0.000823,      0.00164,            0,      0.00211,      0.00125,      0.00407,     0.000107,        0.0012268,       2.0503e-07,         0.001227,     0.000775,      0.00131,      0.00068,            0,      0.00086,     0.000513,      0.00125,            0,      0.00136,     0.000871,     0.000555,     1.46e-05
        62, 10376.773,    0.005,        0.0022886,       7.6527e-06,        0.0022963,       0.0012,      0.00179,     0.000976,            0,       0.0014,     0.000791,      0.00158,            0,      0.00196,      0.00118,      0.00303,     7.97e-05,        0.0012149,       2.0297e-07,        0.0012151,      0.00077,       0.0013,     0.000674,            0,     0.000856,      0.00051,      0.00125,            0,      0.00135,     0.000866,     0.000546,     1.44e-05
        63, 10542.674,    0.005,        0.0026158,       1.1492e-05,        0.0026273,      0.00128,      0.00191,     0.000974,            0,      0.00155,     0.000843,      0.00157,            0,      0.00218,      0.00125,      0.00368,     9.68e-05,        0.0012022,       1.9049e-07,        0.0012024,     0.000763,       0.0013,     0.000666,            0,     0.000851,     0.000506,      0.00125,            0,      0.00134,     0.000862,      0.00053,      1.4e-05
        64, 10712.573,    0.005,        0.0022332,       1.0765e-05,         0.002244,      0.00116,      0.00177,     0.000916,            0,      0.00138,     0.000765,      0.00154,            0,      0.00195,      0.00116,      0.00374,     9.84e-05,        0.0011795,       2.0823e-07,        0.0011797,     0.000747,      0.00128,     0.000655,            0,     0.000831,     0.000495,      0.00124,            0,      0.00133,     0.000854,     0.000556,     1.46e-05
        65, 10881.428,    0.005,        0.0027088,       1.0387e-05,        0.0027192,       0.0013,      0.00195,      0.00099,            0,      0.00158,     0.000856,      0.00161,            0,      0.00221,      0.00127,      0.00357,     9.39e-05,        0.0011754,       1.9567e-07,        0.0011756,     0.000747,      0.00128,      0.00065,            0,     0.000833,     0.000495,      0.00123,            0,      0.00133,     0.000852,     0.000537,     1.41e-05
